Paris;2025-04-14 00:59:27
Lomé;2025-04-15 01:09:41
Lomé;2025-04-15 01:09:47
Lomé;2025-04-15 01:09:58
Lomé;2025-04-15 01:10:07
Paris;2025-04-16 01:25:38
Acqueville;2025-04-16 02:11:41
Cergy;2025-04-16 02:19:26
Roubaix;2025-04-16 16:04:04
Valmondois ;2025-04-16 16:09:40
Allaines-Mervilliers;2025-04-16 16:11:45
Alger;2025-04-17 16:14:39
Alger;2025-04-17 16:14:42
Cergy;2025-04-18 15:30:07
Pontoise;2025-04-18 16:45:25
Bordeaux;2025-04-18 20:30:07
Nice;2025-04-19 16:25:43
Paris;2025-04-19 17:39:28
Paris;2025-04-20 00:21:06
Paris;2025-04-20 00:21:07
Roubaix;2025-04-20 00:21:17
Paris;2025-04-20 00:25:10
Antilly;2025-04-20 00:26:15
Arthenac;2025-04-20 00:26:42
Roubaix;2025-04-20 00:32:08
nice;2025-04-20 00:38:47
bordeaux ;2025-04-20 00:38:57
bordeaux ;2025-04-20 00:39:06
lile ;2025-04-20 00:40:17
Triel-sur-Seine;2025-04-20 00:40:18
Triel-sur-Seine;2025-04-20 00:40:33
Orignolles;2025-04-20 00:47:29
Bordeaux;2025-04-20 00:48:11
Paris;2025-04-20 00:59:27
Lomé;2025-04-20 01:09:41
Lomé;2025-04-20 01:09:47
Lomé;2025-04-20 01:09:58
Lomé;2025-04-20 01:10:07
Paris;2025-04-20 01:25:38
Acqueville;2025-04-20 02:11:41
Cergy;2025-04-20 02:19:26
Roubaix;2025-04-20 16:04:04
Valmondois ;2025-04-20 16:09:40
Allaines-Mervilliers;2025-04-20 16:11:45
Alger;2025-04-20 16:14:39
Alger;2025-04-20 16:14:42
Alger;2025-04-20 16:14:45
Alger;2025-04-20 16:14:53
Paris;2025-04-20 16:15:13
Cergy;2025-04-20 16:15:20
Cergy;2025-04-20 16:15:24
Cergy;2025-04-20 16:15:30
Cergy;2025-04-20 16:15:32
